hanzairitu,teijyu_chiiki,syogyo_wariai,kawa_dummy,taiki_osen,heyazu,furuya_wariai,eki_toho_min,kousoku_akusesu,koteishizan_zei,gakkyu_ninzu,ryokuchi_wariai,teishotoku_wariai,bukken_kakaku_manen
0.00632,18.0,2.31,0,0.538,6.575,65.2,10.2,1,296,15.3,99.2,4.98,3600
0.02731,0.0,7.07,0,0.469,6.421,78.9,12.4,2,242,17.8,99.2,9.14,3240
0.02729,0.0,7.07,0,0.469,7.185,61.1,12.4,2,242,17.8,98.2,4.03,5205
0.03237,0.0,2.18,0,0.458,6.998,45.8,15.2,3,222,18.7,98.7,2.94,5010
0.06905,0.0,2.18,0,0.458,7.147,54.2,15.2,3,222,18.7,99.2,5.33,5430
0.02985,0.0,2.18,0,0.458,6.43,58.7,15.2,3,222,18.7,98.5,5.21,4305
0.08829,12.5,7.87,0,0.524,6.012,66.6,13.9,5,311,15.2,98.9,12.43,3435
0.14455,12.5,7.87,0,0.524,6.172,96.1,14.9,5,311,15.2,99.2,19.15,4065
0.21124,12.5,7.87,0,0.524,5.631,100.0,15.2,5,311,15.2,96.7,29.93,2475
0.17004,12.5,7.87,0,0.524,6.004,85.9,16.5,5,311,15.2,96.7,17.1,2835
0.22489,12.5,7.87,0,0.524,6.377,94.3,15.9,5,311,15.2,98.1,20.45,2250
0.11747,12.5,7.87,0,0.524,6.009,82.9,15.6,5,311,15.2,99.2,13.27,2835
0.09378,12.5,7.87,0,0.524,5.889,39.0,13.6,5,311,15.2,97.6,15.71,3255
0.62976,0.0,8.14,0,0.538,5.949,61.8,11.8,4,307,21.0,99.2,8.26,3060
0.63796,0.0,8.14,0,0.538,6.096,84.5,11.2,4,307,21.0,95.0,10.26,2730
0.62739,0.0,8.14,0,0.538,5.834,56.5,11.2,4,307,21.0,98.9,8.47,2985
1.05393,0.0,8.14,0,0.538,5.935,29.3,11.2,4,307,21.0,96.7,6.58,3465
0.7842,0.0,8.14,0,0.538,5.99,81.7,10.6,4,307,21.0,96.7,14.67,2625
0.80271,0.0,8.14,0,0.538,5.456,36.6,9.5,4,307,21.0,72.2,11.69,3030
0.7258,0.0,8.14,0,0.538,5.727,69.5,9.5,4,307,21.0,97.7,11.28,2730
1.25179,0.0,8.14,0,0.538,5.57,98.1,9.5,4,307,21.0,94.1,21.02,2040
0.85204,0.0,8.14,0,0.538,5.965,89.2,10.0,4,307,21.0,98.1,13.83,2940
1.23247,0.0,8.14,0,0.538,6.142,91.7,9.9,4,307,21.0,99.2,18.72,2280
0.98843,0.0,8.14,0,0.538,5.813,100.0,10.2,4,307,21.0,98.6,19.88,2175
0.75026,0.0,8.14,0,0.538,5.924,94.1,11.0,4,307,21.0,98.6,16.3,2340
0.84054,0.0,8.14,0,0.538,5.599,85.7,11.1,4,307,21.0,75.9,16.51,2085
0.67191,0.0,8.14,0,0.538,5.813,90.3,11.7,4,307,21.0,94.2,14.81,2490
0.95577,0.0,8.14,0,0.538,6.047,88.8,11.1,4,307,21.0,76.6,17.28,2220
0.77299,0.0,8.14,0,0.538,6.495,94.4,11.1,4,307,21.0,97.0,12.8,2760
1.00245,0.0,8.14,0,0.538,6.674,87.3,10.6,4,307,21.0,95.1,11.98,3150
1.13081,0.0,8.14,0,0.538,5.713,94.1,10.6,4,307,21.0,90.0,22.6,1905
1.35472,0.0,8.14,0,0.538,6.072,100.0,10.4,4,307,21.0,94.2,13.04,2175
1.38799,0.0,8.14,0,0.538,5.95,82.0,10.0,4,307,21.0,58.2,27.71,1980
1.15172,0.0,8.14,0,0.538,5.701,95.0,9.5,4,307,21.0,89.7,18.35,1965
1.61282,0.0,8.14,0,0.538,6.096,96.9,9.4,4,307,21.0,62.1,20.34,2025
0.06417,0.0,5.96,0,0.499,5.933,68.2,8.4,5,279,19.2,99.2,9.68,2835
0.09744,0.0,5.96,0,0.499,5.841,61.4,8.4,5,279,19.2,94.4,11.41,3000
0.08014,0.0,5.96,0,0.499,5.85,41.5,9.8,5,279,19.2,99.2,8.77,3150
0.17505,0.0,5.96,0,0.499,5.966,30.2,9.6,5,279,19.2,98.4,10.13,3705
0.02763,75.0,2.95,0,0.428,6.595,21.8,13.5,3,252,18.3,98.9,4.32,4620
0.03359,75.0,2.95,0,0.428,7.024,15.8,13.5,3,252,18.3,98.9,1.98,5235
0.12744,0.0,6.91,0,0.448,6.77,2.9,14.3,3,233,17.9,96.4,4.84,3990
0.1415,0.0,6.91,0,0.448,6.169,6.6,14.3,3,233,17.9,95.8,5.81,3795
0.15936,0.0,6.91,0,0.448,6.211,6.5,14.3,3,233,17.9,98.6,7.44,3705
0.12269,0.0,6.91,0,0.448,6.069,40.0,14.3,3,233,17.9,97.3,9.55,3180
0.17142,0.0,6.91,0,0.448,5.682,33.8,12.8,3,233,17.9,99.2,10.21,2895
0.18836,0.0,6.91,0,0.448,5.786,33.3,12.8,3,233,17.9,99.2,14.15,3000
0.22927,0.0,6.91,0,0.448,6.03,85.5,14.2,3,233,17.9,98.2,18.8,2490
0.25387,0.0,6.91,0,0.448,5.399,95.3,14.7,3,233,17.9,99.2,30.81,2160
0.21977,0.0,6.91,0,0.448,5.602,62.0,15.2,3,233,17.9,99.2,16.2,2910
0.08873,21.0,5.64,0,0.439,5.963,45.7,17.0,4,243,16.8,98.9,13.45,2955
0.04337,21.0,5.64,0,0.439,6.115,63.0,17.0,4,243,16.8,98.5,9.43,3075
0.0536,21.0,5.64,0,0.439,6.511,21.1,17.0,4,243,16.8,99.2,5.28,3750
0.04981,21.0,5.64,0,0.439,5.998,21.4,17.0,4,243,16.8,99.2,8.43,3510
0.0136,75.0,4.0,0,0.41,5.888,47.6,18.3,3,469,21.1,99.2,14.8,2835
0.01311,90.0,1.22,0,0.403,7.249,21.9,21.7,5,226,17.9,99.0,4.81,5310
0.02055,85.0,0.74,0,0.41,6.383,35.7,23.0,2,313,17.3,99.2,5.77,3705
0.01432,100.0,1.32,0,0.411,6.816,40.5,20.8,5,256,15.1,98.2,3.95,4740
0.15445,25.0,5.13,0,0.453,6.145,29.2,19.5,8,284,19.7,97.7,6.86,3495
0.10328,25.0,5.13,0,0.453,5.927,47.2,17.3,8,284,19.7,99.2,9.22,2940
0.14932,25.0,5.13,0,0.453,5.741,66.2,18.1,8,284,19.7,98.8,13.15,2805
0.17171,25.0,5.13,0,0.453,5.966,93.4,17.0,8,284,19.7,94.5,14.44,2400
0.11027,25.0,5.13,0,0.453,6.456,67.8,18.1,8,284,19.7,99.2,6.73,3330
0.1265,25.0,5.13,0,0.453,6.762,43.4,20.0,8,284,19.7,98.9,9.5,3750
0.01951,17.5,1.38,0,0.4161,7.104,59.5,23.1,3,216,18.6,98.3,8.05,4950
0.03584,80.0,3.37,0,0.398,6.29,17.8,16.5,4,337,16.1,99.2,4.67,3525
0.04379,80.0,3.37,0,0.398,5.787,31.1,16.5,4,337,16.1,99.2,10.24,2910
0.05789,12.5,6.07,0,0.409,5.878,21.4,16.2,4,345,18.9,99.1,8.1,3300
0.13554,12.5,6.07,0,0.409,5.594,36.8,16.2,4,345,18.9,99.2,13.09,2610
0.12816,12.5,6.07,0,0.409,5.885,33.0,16.2,4,345,18.9,99.2,8.79,3135
0.08826,0.0,10.81,0,0.413,6.417,6.6,13.2,4,305,19.2,95.9,6.72,3630
0.15876,0.0,10.81,0,0.413,5.961,17.5,13.2,4,305,19.2,94.2,9.88,3255
